species,latitude,longitude,country,date,elevation,temperature,precipitation,NDVI
Gallotia,29.157438,-13.431705,Spain,2025-01-01T14:39:59Z,26.0,19.7,146.0,0.186
Gallotia,27.679537,-15.497489,Spain,2025-01-01T12:06Z,,,,
Gallotia,28.00998,-15.724582,Spain,2025-01-03T13:40:21Z,692.0,15.7,345.0,0.2740347826086957
Gallotia,28.117675,-15.758494,Spain,2025-01-03T13:42:13Z,,,,
Gallotia,28.52567,-14.005438,Spain,2025-01-03T13:20Z,175.0,19.0,129.0,0.10626086956521741
Gallotia,28.460133,-17.850492,Spain,2025-01-04T14:17:40Z,8.0,19.5,330.0,
Gallotia,28.057256,-16.721884,Spain,2025-01-04T16:51Z,29.0,20.4,274.0,0.17783846153846156
Gallotia,28.75055,-13.822814,Spain,2025-01-04T13:08:17Z,19.0,,,0.14275000000000002
Gallotia,28.77221,-17.766391,Spain,2025-01-05T14:06:43Z,277.0,18.3,392.0,0.6170869565217392
Gallotia,28.812733,-17.779926,Spain,2025-01-06T14:42:50Z,150.0,19.2,370.0,0.601313043478261
Gallotia,28.796327,-17.794371,Spain,2025-01-06T10:00:13Z,628.0,18.1,401.0,0.7095782608695652
Gallotia,28.164688,-14.221788,Spain,2025-01-07T10:22:55Z,22.0,20.1,99.0,0.22147272727272727
Gallotia,28.832665,-17.847842,Spain,2025-01-07T12:02:20Z,90.0,19.0,372.0,0.4646565217391304
Gallotia,28.739536,-17.745954,Spain,2025-01-08,427.0,18.1,398.0,0.5075739130434783
Gallotia,28.694252,-17.782625,Spain,2025-01-08T13:38:26Z,272.0,18.7,376.0,0.5117826086956522
Gallotia,28.263408,-16.588572,Spain,2025-01-08T12:59:46Z,2282.0,9.6,490.0,0.05839130434782609
Gallotia,28.482938,-17.851508,Spain,2025-01-09T13:22:10Z,562.0,17.9,378.0,
Gallotia,28.186071,-14.168441,Spain,2025-01-09,107.0,19.9,99.0,0.07130434782608697
Gallotia,28.759934,-17.869424,Spain,2025-01-09T10:55:45Z,2277.0,9.4,584.0,0.21378695652173915
Gallotia,28.793523,-17.926415,Spain,2025-01-09T16:45:39Z,1096.0,14.8,482.0,0.605995652173913
Gallotia,28.79194,-17.926741,Spain,2025-01-09T16:28:56Z,1131.0,14.8,482.0,0.5790913043478261
Gallotia,28.75995,-17.862379,Spain,2025-01-09T13:49:13Z,2255.0,9.7,578.0,0.48740869565217393
Gallotia,28.645191,-17.758273,Spain,2025-01-10T13:16:30Z,23.0,19.9,336.0,0.23857647058823533
Gallotia,28.742397,-13.825887,Spain,2025-01-10T15:10:03Z,-6.0,,,0.10526666666666668
Gallotia,28.451458,-16.255092,Spain,2025-01-10T14:16:41Z,36.0,20.6,278.0,0.3595285714285714
Gallotia,28.135253,-15.664917,Spain,2025-01-10T13:14Z,143.0,20.1,210.0,0.31367826086956524
Gallotia,28.19228,-15.412659,Spain,2025-01-09T14:29Z,,,,
Gallotia,28.452295,-16.256355,Spain,2025-01-10,36.0,20.6,278.0,0.28257857142857146
Gallotia,28.388704,-14.099982,Spain,2025-01-10T12:43:43Z,204.0,19.1,124.0,0.11479130434782608
Gallotia,28.182927,-14.164875,Spain,2025-01-09T13:27:21Z,58.0,19.9,99.0,0.19764782608695652
Gallotia,28.693306,-17.899323,Spain,2025-01-12T14:25:05Z,320.0,17.7,400.0,0.404804347826087
Gallotia,28.653634,-17.780667,Spain,2025-01-11T13:07Z,294.0,18.6,375.0,0.5139260869565218
Gallotia,28.737544,-13.821919,Spain,2025-01-13T13:45:26Z,3.0,,,0.0258
Gallotia,28.305292,-16.566895,Spain,2025-01-11T15:28:40Z,2062.0,10.7,493.0,0.2707
Gallotia,28.651517,-17.774161,Spain,2025-01-14T09:52Z,257.0,18.6,375.0,0.45743478260869574
Gallotia,27.952124,-15.562299,Spain,2025-01-12T14:55:33Z,1300.0,14.9,335.0,0.34400434782608696
Gallotia,28.569851,-16.158518,Spain,2025-01-17T14:51:01Z,485.0,16.4,521.0,0.552495652173913
Gallotia,28.36693,-16.722095,Spain,2025-01-15T13:02:56Z,219.0,19.5,347.0,0.3259695652173913
Gallotia,28.227338,-16.637925,Spain,2025-01-19T15:25:45Z,2059.0,10.4,489.0,0.13892608695652175
Gallotia,28.227378,-16.637971,Spain,2025-01-19T15:21:06Z,2059.0,10.4,489.0,0.13892608695652175
Gallotia,28.644636,-17.811176,Spain,2025-01-17T16:24Z,810.0,15.9,451.0,0.6874347826086957
Gallotia,28.718479,-17.928218,Spain,2025-01-17T15:33Z,1142.0,13.9,500.0,0.5979695652173913
Gallotia,28.607059,-17.92319,Spain,2025-01-17T15:32Z,8.0,,,0.38320000000000004
Gallotia,28.653748,-17.834286,Spain,2025-01-17T15:24Z,945.0,14.2,491.0,0.5486565217391304
Gallotia,28.609991,-17.824059,Spain,2025-01-17T14:57Z,1405.0,13.9,493.0,0.7522000000000001
Gallotia,28.690815,-17.903294,Spain,2025-01-17T14:57Z,273.0,17.7,400.0,0.423904347826087
Gallotia,28.742015,-17.979456,Spain,2025-01-17T14:55Z,585.0,17.4,408.0,0.34306363636363635
Gallotia,28.710609,-17.945134,Spain,2025-01-17T14:53Z,732.0,16.0,447.0,0.4290521739130435
Gallotia,28.730886,-17.984647,Spain,2025-01-17T14:52Z,104.0,,,
Gallotia,28.725085,-17.941387,Spain,2025-01-17T14:47Z,1175.0,14.9,473.0,0.5982739130434783
Gallotia,28.048689,-16.577707,Spain,2025-01-20T10:48:38Z,69.0,20.3,269.0,0.16286956521739132
Gallotia,28.398492,-16.555491,Spain,2025-01-17T11:21Z,180.0,19.4,352.0,0.4023695652173913
Gallotia,28.238529,-16.84506,Spain,2025-01-20T14:29:40Z,,,,0.125
Gallotia,28.371372,-16.770113,Spain,2025-01-03T12:54Z,21.0,,,0.23450588235294118
Gallotia,28.371372,-16.770113,Spain,2025-01-03T12:56Z,21.0,,,0.23450588235294118
Gallotia,28.371188,-16.870567,Spain,2025-01-03T15:14Z,8.0,,,0.22956923076923078
Gallotia,28.361273,-16.89508,Spain,2025-01-20T13:42Z,296.0,,,0.29960833333333337
Gallotia,28.050751,-15.48377,Spain,2025-01-21T12:44:18Z,354.0,18.6,227.0,0.4744739130434783
Gallotia,28.738078,-13.818328,Spain,2025-01-23T12:28:37Z,4.0,19.9,118.0,0.09843333333333334
Gallotia,28.416878,-16.519357,Spain,2025-01-06T13:00Z,54.0,19.9,329.0,0.3667190476190476
Gallotia,28.417943,-16.51876,Spain,2025-01-06T13:08Z,36.0,19.9,329.0,0.3667190476190476
Gallotia,28.418944,-16.518252,Spain,2025-01-06T13:13Z,9.0,19.9,329.0,0.23782
Gallotia,28.009155,-16.664016,Spain,2025-01-23T12:38Z,2.0,20.6,257.0,0.17461578947368422
Gallotia,27.742316,-15.563732,Spain,2025-01-23T13:42:17Z,,20.8,145.0,0.08407272727272729
Gallotia,28.269791,-16.642859,Spain,2025-01-25T14:40:54Z,3499.0,4.1,621.0,0.023769565217391306
Gallotia,28.361725,-16.814887,Spain,2025-01-25T11:13:19Z,127.0,19.9,328.0,0.5410826086956523
Gallotia,28.037011,-16.70005,Spain,2025-01-25T20:25:40Z,140.0,19.7,299.0,0.13875
Gallotia,28.375897,-16.808257,Spain,2025-01-26T12:56:18Z,17.0,,,0.3362434782608696
Gallotia,27.769615,-15.473208,Spain,2025-01-26T11:45:21Z,,,,
Gallotia,28.372481,-16.769689,Spain,2025-01-07T14:37:05Z,12.0,,,0.23450588235294118
Gallotia,28.651931,-17.773367,Spain,2025-01-02T11:20Z,237.0,18.6,375.0,0.462004347826087
Gallotia,28.651633,-17.774094,Spain,2025-01-10T09:59Z,257.0,18.6,375.0,0.45743478260869574
Gallotia,28.548929,-16.264989,Spain,2025-01-26T13:05:07Z,676.0,17.3,485.0,0.653713043478261
Gallotia,28.554094,-16.263978,Spain,2025-01-26T13:54:58Z,639.0,16.7,527.0,0.6467173913043478
Gallotia,28.554053,-16.263964,Spain,2025-01-26T14:37:09Z,639.0,16.7,527.0,0.6467173913043478
Gallotia,28.201968,-17.253808,Spain,2025-01-27T11:46Z,21.0,20.4,293.0,0.29295652173913045
Gallotia,28.301237,-16.371858,Spain,2025-01-23T13:38Z,28.0,20.8,263.0,0.1681666666666667
Gallotia,28.039278,-16.697832,Spain,2025-01-25T20:28Z,166.0,19.7,299.0,0.13747
Gallotia,28.55376,-16.265792,Spain,2025-01-26T13:03Z,637.0,17.3,485.0,0.6587782608695653
Gallotia,28.651764,-17.773917,Spain,2025-01-02T11:38Z,257.0,18.6,375.0,0.45743478260869574
Gallotia,28.526419,-16.280645,Spain,2025-01-25T11:13Z,837.0,16.8,516.0,0.7466
Gallotia,28.451762,-16.256516,Spain,2025-01-25T16:57Z,34.0,20.6,278.0,0.3595285714285714
Gallotia,28.312815,-16.370957,Spain,2025-01-26T12:59Z,107.0,20.5,280.0,0.19402608695652176
Gallotia,28.417843,-16.552691,Spain,2025-01-27T10:51Z,8.0,,,0.13309375
Gallotia,27.723272,-15.549529,Spain,2025-01-25T11:44:52Z,,,,
Gallotia,28.304575,-16.566422,Spain,2025-01-24T12:47Z,2060.0,10.7,493.0,0.2707
Gallotia,28.381058,-16.571424,Spain,2025-01-25T12:55Z,389.0,17.8,431.0,0.3896608695652174
Gallotia,28.299212,-16.372669,Spain,2025-01-23T16:32Z,16.0,20.8,263.0,0.1681666666666667
Gallotia,28.390834,-16.626749,Spain,2025-01-28T12:13:38Z,182.0,18.0,424.0,0.4588739130434783
Gallotia,28.365328,-16.887119,Spain,2025-01-26T15:32Z,28.0,,,0.09896666666666666
Gallotia,28.750956,-17.890975,Spain,2025-01-14T18:53Z,2322.0,9.2,586.0,0.2861130434782609
Gallotia,28.603022,-17.802945,Spain,2025-01-14T18:34Z,1039.0,14.9,472.0,0.7448347826086957
Gallotia,28.756086,-17.86732,Spain,2025-01-14T17:54Z,1877.0,9.4,584.0,0.26888695652173916
Gallotia,28.605373,-17.829328,Spain,2025-01-14T17:34Z,1467.0,12.8,515.0,0.7056913043478261
Gallotia,28.553198,-16.265135,Spain,2025-01-26T13:54:58Z,657.0,17.3,485.0,0.6587782608695653
Gallotia,28.568102,-16.308584,Spain,2025-01-26T10:50Z,72.0,,,0.3808739130434783
Gallotia,28.387595,-16.628565,Spain,2025-01-29T10:30Z,399.0,18.0,424.0,0.4505782608695652
Gallotia,28.416657,-16.529705,Spain,2025-01-11T10:49Z,69.0,20.1,322.0,0.23357368421052635
Gallotia,28.415804,-16.525001,Spain,2025-01-12T10:27Z,54.0,20.1,322.0,0.5152181818181818
Gallotia,28.342645,-16.856588,Spain,2025-01-26T09:51:21Z,624.0,16.6,467.0,0.5207086956521739
Gallotia,28.417056,-16.522627,Spain,2025-01-14T12:35Z,39.0,19.9,329.0,0.19476818181818184
Gallotia,28.416442,-16.531801,Spain,2025-01-16T14:41Z,79.0,20.1,322.0,0.13290526315789475
Gallotia,29.00285,-13.547044,Spain,2025-01-27T12:51:45Z,110.0,19.4,131.0,0.08789565217391304
Gallotia,28.9889,-13.817544,Spain,2025-01-28T13:04:07Z,86.0,19.4,142.0,0.10707391304347826
Gallotia,29.039464,-13.734714,Spain,2025-01-31T14:39:04Z,284.0,18.3,162.0,0.13765652173913043
Gallotia,28.410562,-16.547919,Spain,2025-01-18T11:10Z,97.0,19.8,331.0,0.3778173913043479
Gallotia,28.414478,-16.532139,Spain,2025-01-25T11:58Z,93.0,20.1,322.0,0.3242304347826087
Gallotia,28.412767,-16.559116,Spain,2025-01-26T16:12Z,11.0,,,0.1154
Gallotia,28.679306,-17.914372,Spain,2025-01-14T16:46Z,381.0,19.1,355.0,0.4885130434782609
Gallotia,28.615623,-17.941636,Spain,2025-01-14T16:45Z,,,,
Gallotia,28.415914,-16.528665,Spain,2025-01-27T11:53Z,80.0,20.1,322.0,0.4630772727272727
Gallotia,28.613223,-17.675128,Spain,2025-01-11T13:00Z,,,,
Gallotia,28.410708,-16.548249,Spain,2025-01-31T14:45Z,98.0,19.8,331.0,0.3778173913043479
Gallotia,28.413911,-16.55853,Spain,2025-01-31T17:48Z,13.0,,,0.05673333333333334
Gallotia,28.304497,-16.568782,Spain,2025-01-25T16:50Z,2061.0,10.7,493.0,0.2828782608695652
Gallotia,28.330404,-16.857133,Spain,2025-01-27T14:39Z,820.0,16.1,478.0,0.5266217391304349
Gallotia,27.629022,-15.584448,Spain,2025-01-28T12:47Z,,,,
Gallotia,28.285227,-16.766104,Spain,2025-01-28T13:51Z,1448.0,13.0,510.0,0.3677173913043479
Gallotia,28.558624,-16.264923,Spain,2025-01-01,615.0,18.7,389.0,0.582704347826087
Gallotia,28.04832,-16.578383,Spain,2025-01-02,69.0,20.3,269.0,0.16286956521739132
Gallotia,28.037507,-16.548328,Spain,2025-01-02,9.0,20.6,256.0,0.0913409090909091
Gallotia,28.474967,-17.851853,Spain,2025-01-03,382.0,17.9,378.0,
Gallotia,28.472105,-16.446982,Spain,2025-01-03,103.0,,,0.349825
Gallotia,28.472103,-16.44693,Spain,2025-01-03,182.0,,,0.349825
Gallotia,28.472106,-16.44697,Spain,2025-01-03,182.0,,,0.349825
Gallotia,28.415778,-16.528635,Spain,2025-01-04,80.0,20.1,322.0,0.4630772727272727
Gallotia,28.026373,-16.703417,Spain,2025-01-04,0.0,19.9,289.0,0.1227357142857143
Gallotia,28.026389,-16.703437,Spain,2025-01-04,0.0,19.9,289.0,0.1227357142857143
Gallotia,28.027224,-16.704268,Spain,2025-01-04,3.0,,,0.1442
Gallotia,28.02807,-16.704408,Spain,2025-01-04,0.0,,,0.0504
Gallotia,28.028208,-16.704492,Spain,2025-01-04,0.0,,,0.0504
Gallotia,28.029187,-16.704388,Spain,2025-01-04,-1.0,,,0.0504
Gallotia,28.030246,-16.704162,Spain,2025-01-04,55.0,19.9,289.0,0.15995
Gallotia,28.031361,-16.705572,Spain,2025-01-04,89.0,,,0.1442642857142857
Gallotia,28.029735,-16.704738,Spain,2025-01-04,12.0,,,0.1442642857142857
Gallotia,28.376698,-16.626165,Spain,2025-01-05,628.0,16.8,479.0,0.5875652173913043
Gallotia,28.031667,-16.544444,Spain,2025-01-06,36.0,20.7,254.0,0.14377500000000001
Gallotia,28.401362,-16.580686,Spain,2025-01-06,109.0,,,0.24064285714285716
Gallotia,28.401357,-16.580687,Spain,2025-01-06,109.0,,,0.24064285714285716
Gallotia,28.411315,-16.547683,Spain,2025-01-06,94.0,19.8,331.0,0.3778173913043479
Gallotia,28.826742,-17.950862,Spain,2025-01-08,324.0,,,0.43667142857142854
Gallotia,27.737055,-15.602585,Spain,2025-01-08,1.0,,,
Gallotia,28.372225,-16.76545,Spain,2025-01-08,10.0,,,0.2058
Gallotia,27.744008,-15.596758,Spain,2025-01-08,9.0,20.7,149.0,0.22393333333333337
Gallotia,28.316278,-16.367472,Spain,2025-01-09,74.0,20.5,280.0,0.19931739130434784
Gallotia,28.57009,-16.320443,Spain,2025-01-09,79.0,,,0.3577363636363637
Gallotia,28.395737,-16.651645,Spain,2025-01-09,17.0,,,0.35056521739130436
Gallotia,28.458156,-16.463907,Spain,2025-01-09,72.0,,,0.34852500000000003
Gallotia,27.930954,-15.75012,Spain,2025-01-09,646.0,16.7,310.0,0.20664347826086957
Gallotia,28.305097,-16.56557,Spain,2025-01-09,2052.0,10.7,493.0,0.2707
Gallotia,28.305287,-16.565505,Spain,2025-01-09,2052.0,10.7,493.0,0.2707
Gallotia,28.305392,-16.567023,Spain,2025-01-09,2062.0,10.7,493.0,0.2707
Gallotia,28.567962,-16.320443,Spain,2025-01-11,101.0,,,0.31983636363636364
Gallotia,28.568626,-16.32081,Spain,2025-01-11,88.0,,,0.31983636363636364
Gallotia,28.568626,-16.32081,Spain,2025-01-11,88.0,,,0.31983636363636364
Gallotia,28.568626,-16.32081,Spain,2025-01-11,88.0,,,0.31983636363636364
Gallotia,28.409583,-16.538575,Spain,2025-01-11,100.0,19.7,336.0,0.3713086956521739
Gallotia,27.813332,-15.582101,Spain,2025-01-11,421.0,19.9,176.0,0.17654347826086958
Gallotia,27.885296,-15.534465,Spain,2025-01-11,394.0,18.0,232.0,0.23926956521739132
Gallotia,28.256342,-16.623907,Spain,2025-01-12,2327.0,9.3,497.0,0.16010000000000002
Gallotia,28.823059,-17.893583,Spain,2025-01-12,759.0,16.3,449.0,0.7978347826086958
Gallotia,28.400187,-16.673183,Spain,2025-01-12,28.0,,,0.19395384615384614
Gallotia,28.400187,-16.673183,Spain,2025-01-12,28.0,,,0.19395384615384614
Gallotia,27.958752,-15.41724,Spain,2025-01-12,271.0,20.1,163.0,0.2056478260869565
Gallotia,27.958631,-15.417321,Spain,2025-01-12,271.0,20.1,163.0,0.2056478260869565
Gallotia,28.314562,-16.59591,Spain,2025-01-12,2089.0,11.2,500.0,0.15973478260869567
Gallotia,28.043966,-16.70905,Spain,2025-01-12,9.0,,,0.2058
Gallotia,27.966452,-15.584447,Spain,2025-01-13,1669.0,12.1,394.0,0.6362260869565217
Gallotia,28.461428,-17.845406,Spain,2025-01-12,129.0,19.5,330.0,
Gallotia,28.160582,-16.633831,Spain,2025-01-15,1381.0,13.1,490.0,0.3773304347826087
Gallotia,28.553809,-16.34825,Spain,2025-01-15,27.0,,,0.17739473684210527
Gallotia,28.304865,-16.373963,Spain,2025-01-15,54.0,20.5,278.0,0.1814818181818182
Gallotia,27.737106,-15.602765,Spain,2025-01-15,1.0,,,
Gallotia,28.595278,-17.888658,Spain,2025-01-16,484.0,17.5,396.0,0.2749782608695652
Gallotia,28.418016,-16.551527,Spain,2025-01-16,8.0,,,0.13309375
Gallotia,28.452719,-16.258293,Spain,2025-01-16,32.0,20.6,278.0,0.22465714285714286
Gallotia,28.805028,-17.761295,Spain,2025-01-16,25.0,20.3,334.0,0.5789913043478261
Gallotia,28.391244,-16.626667,Spain,2025-01-16,182.0,18.0,424.0,0.4588739130434783
Gallotia,28.253095,-16.624433,Spain,2025-01-15,2284.0,9.3,497.0,0.16290869565217392
Gallotia,28.061086,-16.716536,Spain,2025-01-18,34.0,20.4,274.0,0.22348695652173917
Gallotia,28.395602,-16.589739,Spain,2025-01-18,109.0,,,0.3579434782608696
Gallotia,27.809104,-15.743993,Spain,2025-01-18,74.0,,,0.11936
Gallotia,27.7616,-15.562333,Spain,2025-01-18,15.0,20.6,150.0,0.18880588235294118
Gallotia,28.061092,-16.716453,Spain,2025-01-18,34.0,20.4,274.0,0.22348695652173917
Gallotia,28.061025,-16.717203,Spain,2025-01-19,33.0,20.4,274.0,0.22348695652173917
Gallotia,28.061539,-16.71594,Spain,2025-01-19,35.0,20.3,277.0,0.3835260869565218
Gallotia,28.396962,-16.591208,Spain,2025-01-20,85.0,,,0.33664761904761903
Gallotia,28.068799,-14.505455,Spain,2025-01-20,13.0,,,
Gallotia,27.765431,-15.551362,Spain,2025-01-20,3.0,20.7,148.0,0.11257500000000001
Gallotia,27.736202,-15.600935,Spain,2025-01-20,3.0,,,
Gallotia,28.060971,-16.716385,Spain,2025-01-22,34.0,20.4,274.0,0.22348695652173917
Gallotia,28.697242,-13.918938,Spain,2025-01-23,205.0,19.1,131.0,0.11067391304347826
Gallotia,28.697287,-13.91893,Spain,2025-01-23,205.0,19.1,131.0,0.11067391304347826
Gallotia,27.737075,-15.602628,Spain,2025-01-23,1.0,,,
Gallotia,28.98078,-13.645457,Spain,2025-01-24,369.0,18.1,160.0,0.10977391304347825
Gallotia,28.978272,-13.640883,Spain,2025-01-24,538.0,17.9,163.0,0.15833478260869566
Gallotia,28.302567,-16.573477,Spain,2025-01-24,2077.0,10.6,493.0,0.15106956521739132
Gallotia,28.74,-13.88,Spain,2025-01-24,20.0,19.8,123.0,0.12186956521739131
Gallotia,27.744027,-15.596748,Spain,2025-01-24,9.0,20.7,149.0,0.22393333333333337
Gallotia,28.764297,-13.816197,Spain,2025-01-25,10.0,,,-0.01239375
Fringilla polatzeki,27.882075,-15.481701,Spain,2025-01-04T16:24:23Z,262.0,18.8,202.0,0.14278260869565218
Fringilla polatzeki,27.802805,-15.692988,Spain,2025-01-07T11:41Z,132.0,19.9,185.0,0.12701739130434783
Fringilla polatzeki,27.840171,-15.540595,Spain,2025-04-15T16:02,828.0,16.5,275.0,0.19868260869565219
Fringilla polatzeki,27.877188,-15.464955,Spain,2024-05-18T12:18,146.0,19.5,180.0,0.11820434782608695
Fringilla polatzeki,27.92201,-15.417474,Spain,2024-05-18T12:18,178.0,20.1,158.0,0.17553478260869565
Fringilla polatzeki,27.969639,-15.58254,Spain,2024-05-18T12:18,1711.0,12.1,394.0,0.4450521739130435
Fringilla polatzeki,27.922095,-15.530839,Spain,2024-05-18T12:18,928.0,15.4,315.0,0.27459130434782614
Fringilla polatzeki,27.926935,-15.599161,Spain,2024-06-08T14:16,1225.0,14.2,351.0,0.25361739130434785
Fringilla polatzeki,27.815107,-15.510653,Spain,2024-06-08T14:15,295.0,19.3,184.0,0.14755652173913042
Fringilla polatzeki,27.867041,-15.485931,Spain,2024-07-22T14:55,327.0,19.6,178.0,0.1272608695652174
Fringilla polatzeki,27.886151,-15.476176,Spain,2024-07-22T14:58,430.0,18.8,202.0,0.1719217391304348
Fringilla polatzeki,27.93321,-15.557823,Spain,2024-11-20T17:51:28Z,784.0,16.0,305.0,0.35566521739130436
Fringilla polatzeki,27.850375,-15.60084,Spain,2024-11-26T12:26Z,520.0,19.1,202.0,0.1962608695652174
Fringilla polatzeki,27.915867,-15.750314,Spain,2024-11-26T12:35Z,618.0,18.1,261.0,0.19865652173913043
Fringilla polatzeki,27.942894,-15.55123,Spain,2024-11-26T15:12Z,1195.0,14.4,342.0,0.35641739130434785
Fringilla polatzeki,27.867441,-15.579773,Spain,2024-11-26T15:21Z,969.0,16.3,290.0,0.21867391304347827
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-01-04,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-08,1682.0,12.4,392.0,0.3889304347826087
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-08,1682.0,12.4,392.0,0.3889304347826087
Fringilla polatzeki,27.944025,-15.694351,Spain,2023-01-01,1274.0,15.4,341.0,0.37012173913043483
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-29,1682.0,12.4,392.0,0.3889304347826087
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-03,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-13,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-14,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-02-16,1125.0,14.4,355.0,0.4347304347826087
Fringilla polatzeki,27.931227,-15.67752,Spain,2023-02-13,988.0,14.7,353.0,0.41753913043478263
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-17,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-04,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-04,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966726,-15.583581,Spain,2023-03-09,1668.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.960989,-15.589557,Spain,2023-03-09,1641.0,11.7,396.0,0.5479173913043478
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-07,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-12,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-15,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-15,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-03-20,1125.0,14.4,355.0,0.4347304347826087
